P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
Q3JP94	['戊二酰辅酶A脱氢酶']
Q9NPJ3	['主题2', '酰基辅酶A硫代酯酶13', '3.1.2.-', '酰基辅酶A硫代酯酶13', '硫酯酶超家族成员2']
P0AEG4	['dsf', 'ppfA', '硫醇：二硫键交换蛋白DsbA']
P0A6M2	['罗克丝', '二硫化物氧化还原酶', 'ycgA', '二硫键形成蛋白B']
Q72LA5	['NrfC蛋白']
Q72LA4	['硫代硫酸盐还原酶']
Q72LA6	['假想跨膜蛋白']
Q9ZLT0	['glr', '谷氨酸消旋酶', '5.1.1.3']
P26661	['基因组多蛋白', '3.4.22.-', 'p23']
P80192	['PRKE1', 'MLK1', '2.7.11.25', '混合谱系激酶1', '丝裂原活化蛋白激酶9']
Q7SIA5	['羧酸酯酶']
O92972	['基因组多蛋白', '3.4.22.-', 'p23']
A7J8L3	['PP1a', '多蛋白orf1a', 'Orf1a多蛋白']
Q672W7	['3.5.1.88', 'PDF', '肽去甲酰化酶', '多肽去甲酰化酶']
Q9HBL8	['HSCARG', '含蛋白1的NmrA样家族结构域']
P16218	['纤维素酶H', '3.2.1.4', '嗯', '内切-1,4-β-葡聚糖酶H', '内切葡聚糖酶H']
P01100	['G0S7', '原癌基因c-Fos', '细胞癌基因fos', 'G0\\/G1开关调节蛋白7']
O75330	['透明质酸介导的运动受体', '拉姆', '细胞内透明质酸结合蛋白', 'IHABP', '透明质酸介导的运动受体']
P13611	['CSPG2', '胶质透明质酸结合蛋白', '大成纤维细胞蛋白多糖', '嘎普', 'PG-M', '硫酸软骨素蛋白多糖核心蛋白2', '云芝核心蛋白', '硫酸软骨素蛋白多糖2']
Q07021	['补体成分1q亚成分结合蛋白，线粒体', 'ASF\\/SF2相关蛋白p32', 'gC1q-R蛋白', 'HABP1', '透明质酸结合蛋白1', 'C1qBP', '糖蛋白gC1qBP', '线粒体基质蛋白p32', '第33页', 'SF2P32', 'GC1QBP']
P10915	['蛋白多糖连接蛋白', 'CRTL1', '软骨连接蛋白1', '透明质酸和蛋白聚糖连接蛋白1', '软骨连接蛋白']
Q96S86	['透明质酸和蛋白聚糖连接蛋白3', 'EXLD1']
Q14520	['因子7激活蛋白酶', 'HGFAL', '3.4.21.-', '血浆透明质酸结合蛋白', '透明质酸结合蛋白2', 'PHBP', '肝细胞生长因子激活物样蛋白', 'FSAP', '因子VII激活蛋白酶']
Q6UX15	['拉伊林']
Q8WWQ8	['筋膜层蛋白、EGF样、层粘连蛋白型EGF样和含有连接结构域的清道夫受体2', '感觉2', '含有粘附分子2的FAS1-EGF样和X-link结构域', '二月二日', '透明质酸内吞受体', '感觉', '摔倒', '野兔', '稳定素-2']
Q9BZV3	['IPM200', 'Spacrcan', 'IPM 200', '视锥和视杆蛋白多糖相关的唾液蛋白', '200 kDa的光间受体基质蛋白聚糖', '光间受体基质蛋白聚糖2']
Q5JVS0	['细胞内透明质酸结合蛋白4', 'Ki-1\\/57细胞内抗原', 'IHABP-4']
Q9Y5Y7	['CRSBP1', '淋巴管内皮透明质酸受体1', '透明质酸受体', '含胞外连接域蛋白1', 'XLKD1', 'LYVE-1', 'CRSBP-1', '细胞表面保留序列结合蛋白1', '哈尔']
Q08460	['钙激活钾通道亚单位α-1', 'K（VCA）α', 'KCa1。1.', '慢泡同系物', 'BKCA阿尔法', 'Kcnma', 'mSlo1', 'Slo同系物', 'mSlo', 'Slo阿尔法', 'Maxi K频道', 'BK通道', '钙激活钾通道，M亚单位α-1亚家族', 'Slo1', '马克西克']
Q9UHC3	['酸敏感离子通道3', '会计科目3', 'hTNaC1', '睾丸钠通道1', 'TNAC1', '神经元阿米洛利敏感阳离子通道3', 'SLNAC1', '阿米洛利敏感阳离子通道3', 'ASIC3']
Q9NSD5	['GAT-2', '溶质载体家族6成员13', 'GAT2', '钠和氯依赖的GABA转运体2']
P48066	['GABT3', 'GAT3', '钠和氯依赖的GABA转运体3', '溶质载体家族6成员11', 'GAT-3']
P48065	['钠和氯依赖性甜菜碱转运体', '溶质载体家族6成员12', 'Na（+）\\/Cl（-）甜菜碱\\/GABA转运体', 'BGT-1']
Q9H228	['EDG8', '内皮分化G蛋白偶联受体8', 'S1P受体5', 'S1P受体Edg-8', '鞘氨醇1-磷酸受体5', '鞘氨醇1-磷酸受体Edg-8']
P21453	['S1P受体1', '鞘氨醇1-磷酸受体Edg-1', '鞘氨醇1-磷酸受体1', '内皮分化G蛋白偶联受体1', 'EDG1', 'S1P受体Edg-1', 'CHEDG1']
O95977	['鞘氨醇1-磷酸受体Edg-6', 'S1P受体Edg-6', 'S1P受体4', '鞘氨醇1-磷酸受体4', 'EDG6', '内皮分化G蛋白偶联受体6']
Q99500	['内皮分化G蛋白偶联受体3', '鞘氨醇1-磷酸受体3', 'S1P受体Edg-3', '鞘氨醇1-磷酸受体Edg-3', 'S1P受体3', 'EDG3']
Q18BX5	['RNA聚合酶SigA因子', '西格']
P49763	['胎盘生长因子', 'PLGF', 'PGFL']
P49765	['VRF', '血管内皮生长因子相关因子', '血管内皮生长因子B', 'VEGF-B']
P08697	['AAP', '丝氨酸蛋白酶F2', 'α-2-抗血浆蛋白', 'α-2-PI', 'α-2-AP', 'α-2-纤溶酶抑制剂', 'PLI']
P28062	['多催化内肽酶复合物亚基C13', '非常有趣的新基因10蛋白', '大蛋白亚基C13', 'Y2', '蛋白酶体亚单位β-8型', '铃声10', 'LMP7', '蛋白酶体亚单位β-5i', '蛋白酶体成分C13', 'PSMB5i', '低分子量蛋白7', '3.4.25.1']
P28065	['蛋白酶体亚单位β-9型', 'LMP2', '非常有趣的新基因12蛋白质', '铃声12', '宏观主链7', 'PSMB6i', '低分子量蛋白2', '多催化内肽酶复合物链7', '蛋白酶体链7', '蛋白酶体亚单位β-1i', '3.4.25.1']
P40306	['LMP10', '蛋白酶体MECl-1', '蛋白酶体亚单位β-2i', '大蛋白亚基MECl-1', '蛋白酶体亚单位β-10型', '低分子量蛋白10', '多催化内肽酶复合物亚单位MECl-1', 'MECL1', '3.4.25.1']
P25092	['肠鸟苷酸环化酶', '4.6.1.2', 'STA受体', 'GUC2C', '热稳定肠毒素受体', 'GC-C', '明星', '鸟苷酰环化酶C']
Q16832	['盘状结构域受体2', '2.7.10.1', 'NTRKR3', '蒂罗10', 'CD167抗原样家族成员B', '含有盘状结构域的受体酪氨酸激酶2', '受体蛋白酪氨酸激酶TKT', 'TKT', '酪氨酸蛋白激酶酪氨酸10', '神经营养酪氨酸激酶，受体相关3', '含有盘状结构域的受体2']
P13423	['PA-83', '保护性抗原', '炭疽毒素转运蛋白', 'PA83', '帕格', '帕']
P9WPS1	['F-ATP酶亚基c', 'F型ATP酶亚基c', 'ATP合成酶F（0）扇形亚基c', '脂质结合蛋白', 'ATP合酶亚基c']
Q14145	['KIAA0132', 'KLHL19', 'INRF2', '类海带蛋白19', 'Nrf2细胞溶质抑制剂', '类海带棘细胞相关蛋白1']
P57059	['丝氨酸\\/苏氨酸蛋白激酶SNF1样激酶1', '盐诱导激酶1', '2.7.11.1', '丝氨酸蛋白苏氨酸激酶1', '锡克', 'SNF1LK', '植-1', '丝氨酸\\/苏氨酸蛋白激酶SNF1LK']
Q8NG66	['NimA相关蛋白激酶11', '在有丝分裂中从未出现过A相关激酶11', '2.7.11.1', '丝氨酸\\/苏氨酸蛋白激酶Nek11']
P53667	['2.7.11.1', '林克', 'LIM结构域激酶1', 'LIMK-1']
Q15303	['2.7.10.1', 'P180Erb4', '酪氨酸激酶型细胞表面受体HER4', '受体酪氨酸蛋白激酶erbB-4', '原癌基因样蛋白c-ErbB-4', '她']
O15393	['3.4.21.-', '丝氨酸蛋白酶10', '跨膜蛋白酶丝氨酸2', 'PRSS10']
Q92482	['AQP-3', '水通道蛋白-3', '甘油水通道蛋白-3']
Q5L478	['非结构蛋白5A']
Q16552	['IL-17', 'CTLA-8', '细胞毒性T淋巴细胞相关抗原8', 'CTLA8', '白细胞介素-17A', 'IL17']
O43613	['Ox-1-R', '增食欲素受体1型', '下视黄醇受体1型']
O43614	['下视黄醇受体2型', '增食欲素受体2型', 'Ox-2-R']
Q9HGT2	['胞浆亮氨酸tRNA合成酶']
A0A023W3H0	['D类OXA-48碳青霉烯酶', 'OXA-48碳青霉烯酶']
Q9F663	['碳青霉烯水解β-内酰胺酶KPC', '科索沃保护团', '3.5.2.6', 'kpc1', '碳青霉烯水解β-内酰胺酶KPC-1']
Q9EXV5	['β-内酰胺酶UOE-1']
P37321	['3.5.2.6', '超广谱β-内酰胺酶PER-1']
P47775	['G蛋白偶联受体12']
Q9Y5S1	['香草醛受体样蛋白1', 'Osm-9类TRP通道2', 'OTRPC2', 'VRL-1', 'TrpV2', 'VRL', '瞬时受体电位阳离子通道亚家族V成员2']
Q9HBA0	['VRL2', 'Osm-9类TRP通道4', '香草醛受体样通道2', 'OTRPC4', '瞬时受体电位蛋白12', '香草醛受体相关渗透激活通道', 'VR-OAC', '香草醛受体样蛋白2', '瞬时受体电位阳离子通道亚家族V成员4', 'TrpV4', 'VROAC', 'VRL-2', 'TRP12']
P20815	['细胞色素P450 3A5', 'CYPIIa5', '细胞色素P450 HLp2', '1.14.14.1', '细胞色素P450-PCN3']
P10635	['细胞色素P450 2D6', '细胞色素P450-DB1', 'CYP2DL1', '胆固醇25羟化酶', 'CYPIID6', '去异喹4-羟化酶', '1.14.14.1']
P24462	['细胞色素P450-HFLA', '1.14.14.1', '细胞色素P450 3A7', 'CYPIIa7']
F1T0I5	['芳基烷基胺N-乙酰转移酶', '5-羟色胺N-乙酰转移酶']
Q02083	['N-酰基鞘氨醇氨基水解酶样', '酸性神经酰胺酶样蛋白', 'ASAH样蛋白', 'PLT', '3.5.1.-', '阿萨尔', 'N-酰基乙醇胺水解酸性酰胺酶']
P34998	['CRH-R1', 'CRFR', '促肾上腺皮质激素释放激素受体1', 'CRH-R-1', 'CRF-R-1', '促肾上腺皮质激素释放因子受体1', 'CRHR', 'CRFR1']
P42765	['β-酮硫酶', 'T1', '线粒体3-氧酰基-CoA硫酶', '酰基辅酶A水解酶，线粒体', '乙酰辅酶A乙酰转移酶', '3-酮酰辅酶A硫酶，线粒体', '2.3.1.16', '乙酰辅酶A酰基转移酶']
P08294	['EC-SOD', '细胞外超氧化物歧化酶[Cu-Zn]', '1.15.1.1']
P31391	['SS-4-R', '生长抑素受体4型']
Q99571	['P2X嘌呤受体4', 'P2X4', 'ATP受体', '嘌呤能受体']
P62807	['组蛋白H2B 1型-C\\/E\\/F\\/G\\/I', '组蛋白H2B。H', '组蛋白H2B。K', '组蛋白H2B。A.', 'H2BFA', 'H2B\\/a', 'H2BFG', 'H2BFH', '组蛋白H2B。1A', '组蛋白H2B。L', 'H2B\\/g', '组蛋白H2B。G', 'H2B\\/k', 'H2B\\/h', 'H2B\\/l', 'H2BFL', 'H2BFK']
P10412	['组蛋白H1。4.', 'H1F4', '组蛋白H1s-4', '组蛋白H1b']
P63261	['γ肌动蛋白', 'ACTG', '肌动蛋白，细胞质2']
P10809	['CPN60', '热休克蛋白60', 'P60淋巴细胞蛋白', '线粒体基质蛋白P1', '60kDa伴侣蛋白', '热休克蛋白-60', '伴侣蛋白60', '3.6.4.9', 'HSP60', '60kDa热休克蛋白，线粒体', '呼茶60']
P48723	['微粒体应激-70蛋白ATP酶核心', '应激-70蛋白伴侣微粒体相关60kDa蛋白', '热休克70 kDa蛋白13', 'STCH']
Q08288	['细胞生长调节核仁蛋白', '男性精母细胞中表达的蛋白质264', 'MLZ-264']
P15880	['40S核糖体蛋白S2', '小核糖体亚单位蛋白uS5', '蛋白LLRep3', 'RPS4', '40S核糖体蛋白S4']
Q07955	['前mRNA剪接因子SF2，P33亚单位', 'SFRS1', 'ASF', '富含丝氨酸\\/精氨酸的剪接因子1', '剪接因子，富含精氨酸\\/丝氨酸1', 'SF2', 'SF2P33', 'ASF-1', '选择性剪接因子1']
P22626	['异质核核糖核蛋白A2\\/B1', 'hnRNP A2\\/B1', 'HNRPA2B1']
P31943	['异质核核糖核蛋白H', 'hnRNP H', 'HNRPH', 'HNPH1']
P31942	['异质核核糖核蛋白H3', '异质核核糖核蛋白2H9', 'HNRPH3', 'hnRNP H3', 'hnRNP 2H9']
P61987	['2.1.1.195', '钴-precorrin-6A合酶', '钴-precorrin-5B C（1）-甲基转移酶']
P14866	['异质核核糖核蛋白L', 'HNRPL', 'hnRNP L']
P23246	['100kDa DNA配对蛋白', '剪接因子，富含脯氨酸和谷氨酰胺', 'hPOMp100', '多嘧啶束结合蛋白相关剪接因子', 'DNA结合p52\\/p100复合物，100kDa亚单位', 'PTB相关剪接因子', 'PSF']
Q15428	['SF3a66', '剪接因子3A亚单位2', 'SAP 62', 'SAP62', '剪接体相关蛋白62']
P63244	['GNB2L1', '鸟嘌呤核苷酸结合蛋白亚单位β-2样1', '小核糖体亚单位蛋白RACK1', '鸟嘌呤核苷酸结合蛋白亚单位β样蛋白12.3', '活化蛋白C激酶1受体', '细胞增殖诱导基因21蛋白', 'HLC-7', '人肺癌癌基因7蛋白', '活化C激酶受体']
P29401	['2.2.1.1', '转酮酶', 'TK']
P31948	['肾癌抗原NY-REN-11', '转化敏感蛋白IEF SSP 3521', 'Hsc70\\/Hsp90组织蛋白', '应激诱导磷蛋白1', '单足蹦跳', 'STI1']
Q96RE1	['平移延伸因子1α1-类14']
P56537	['真核翻译起始因子6', 'p27（BBP）', 'EIF3A', 'eIF-6', 'ITGB4BP', 'B4整合素相互作用子', '驾驶室', 'B（2）GCN同系物']
P60842	['DDX2A', 'ATP依赖性RNA解旋酶eIF4A-1', '真核启动因子4A-I', 'EIF4A', 'eIF-4A-I', '3.6.4.13']
P31946	['蛋白激酶C抑制剂蛋白1', 'KCIP-1', '14-3-3蛋白质β\\/α', '蛋白质1054']
P51858	['高迁移率族蛋白1-like 2', 'HDGF', 'HMG1L2', '肝癌衍生生长因子', 'HMG-1L2']
O00299	['氯离子胞内通道蛋白1', 'hRNCC', '氯通道', '核氯离子通道27', 'NCC27', 'G6', '调节性核氯离子通道蛋白']
Q06323	['IFI5111', '11S调节器复合亚单位α', 'REG alpha', '干扰素γ上调I-5111蛋白', 'IGUP I-5111', '多催化蛋白酶亚基1激活剂', '蛋白酶体激活剂28亚单位α', 'PA28alpha', 'PA28a', '蛋白酶体激活物复合物亚单位1']
P30086	['磷脂酰乙醇胺结合蛋白1', 'HCNPpp', 'RKIP', 'PBP', '前列腺结合蛋白', 'PEBP', 'Raf激酶抑制剂蛋白', 'PEBP-1', '神经肽h3']
P18669	['5.4.2.11', 'PGAM-B', '磷酸甘油酸变位酶1', '磷酸甘油酸变位酶同工酶B', '依赖BPG的PGAM 1', 'PGAMA']
P43487	['Ran特异性GTP酶激活蛋白', 'Ran结合蛋白1', 'RanBP1']
O75880	['蛋白质SCO1同源物，线粒体', 'SCOD1']
F7VJQ1	['PRP', 'ALTPRP', '普里普', '替代朊蛋白']
P42858	['亨廷顿病蛋白', '亨廷顿蛋白', '高清', 'IT15', 'HD蛋白']
Q6MZM0	['类肝素蛋白1', '1.-.-.-']
Q99497	['癌基因DJ1', '3.1.2.-', 'DJ-1', '帕金森病蛋白7', '蛋白去糖酶DJ-1']
P10997	['胰岛素瘤淀粉样肽', '糖尿病相关肽', '胰淀素', '目的地交货', '胰岛淀粉样多肽']
Q9UHF0	['ZNEUROK1', 'NKNB', '速激肽-3']
P43652	['ALB2', '阿法明', 'α-白蛋白', '阿尔法白蛋白', '阿尔巴']
P02655	['APC2', '载脂蛋白C2', '载脂蛋白CII', '载脂蛋白C-II']
P02656	['载脂蛋白C3', '载脂蛋白CIII', '载脂蛋白C-III']
P02748	['补体成分C9']
P45973	['HP1A', 'HP1α', '色盒蛋白同源物5', '异染色质蛋白1同系物α', '抗原p25']
P01861	['Igγ-4链C区']
P15814	['免疫球蛋白相关蛋白14.1', 'IGL1', 'CD179抗原样家族成员B', '免疫球蛋白ω多肽', 'Ig lambda-5', '免疫球蛋白λ样多肽1']
P02750	['LRG', '富含亮氨酸的α-2糖蛋白']
P51884	['卢米坎', 'SLRR2D', '最不发达国家', '硫酸可拉坦蛋白多糖lumican', 'KSPG卢米坎']
P05543	['Serpin A7', '甲状腺素结合球蛋白', 'T4结合球蛋白', 'TBG']
P36955	['EPC-1', '细胞增殖诱导基因35蛋白', '色素上皮衍生因子', 'Serpin F1', '佩德夫']
P04080	['B类消费物价指数', '胱抑素B', 'STFB', 'Stefin-B', '肝硫醇蛋白酶抑制剂', 'CST6']
Q9Y5S8	['NADH\\/NADPH促有丝分裂氧化酶亚基P65-MOX', 'MOX1', 'NOH-1', '促有丝分裂氧化酶1', '氮氧化物-1', 'NADPH氧化酶1', 'MOX-1', 'NOH1', '1.-.-.-']
P87764	['非结构蛋白5b']
P22897	['CLEC13D', 'CLEC13DL', 'MRC1L1', 'C型凝集素结构域家族13成员D样', '嗯', 'C型凝集素结构域家族13成员D', 'hMR', '巨噬细胞甘露糖受体1样蛋白1', '人甘露糖受体', '巨噬细胞甘露糖受体1']
P04926	['疟疾蛋白EXP-1', '出口抗原AG 5.1']
O25926	['ATP依赖性Clp蛋白酶ATP结合亚单位ClpX']
Q3MS49	['逆转录酶']
I6TLU5	['DNA聚合酶', '2.7.7.7']
P39905	['自动变速箱油', '胶质细胞源性神经生长因子', '星形胶质细胞源性营养因子', 'hGDNF']
Q8NBP7	['PC9', 'NARC-1', '3.4.21.-', '枯草杆菌素\\/可欣样蛋白酶PC9', '神经细胞凋亡调节转化酶1', '毒品1', '前蛋白转化酶枯草杆菌素\\/可欣9型', '前蛋白转化酶9']
P28907	['ADP核糖环化酶\\/环ADP核糖水解酶1', 'cADPr水解酶1', '环ADP核糖水解酶1', 'T10', "2'-磷酸ADP核糖环化酶\\/2'-磷酸环ADP核糖转移酶", "2'-磷酸环ADP核糖转移酶", 'ADPRC 1', '3.2.2.6', 'ADP核糖环化酶1', "2'-磷酸ADP核糖环化酶"]
P55073	['ITDI3', 'TXDI3', '迪奥III', '5DIII', '3型DI', '甲状腺素5-脱碘酶', 'III型碘甲状腺原氨酸脱碘酶', '1.21.99.3']
P05186	['AP-TNAP', '3.1.3.1', '肝\\/骨\\/肾碱性磷酸酶同工酶', '碱性磷酸酶，组织非特异性同工酶']
P19971	['血小板源性内皮细胞生长因子', '2.4.2.4', '胸苷磷酸化酶', '格列抑素', 'PD-ECGF', 'ECGF1', 'TdRPase', '总磷']
Q02108	['4.6.1.2', 'GCS-alpha-3', '鸟苷酸环化酶可溶性亚单位α-3', '可溶性鸟苷酸环化酶大亚基', 'GUCSA3', '鸟苷酸环化酶可溶性亚单位α-1', 'GUCY1A3', 'GCS-alpha-1', 'GUC1A3']
P34981	['TRH-R', '促甲状腺激素释放激素受体', '甲状腺素受体']
P17050	['3.2.1.49', 'α-半乳糖苷酶B', 'α-N-乙酰半乳糖胺酶']
P69924	['1.17.4.1', 'ftsB', '蛋白质R2', '核糖核苷二磷酸还原酶1β亚单位', '核糖核苷酸还原酶1', '蛋白B2']
Q8KT33	['尿素酶', '3.5.1.5']
P47872	['SCT-R', '分泌素受体']
Q9UEW3	['清道夫受体A类成员2', '巨噬细胞受体', '斯卡拉2', '具有胶原结构的巨噬细胞受体']
Q96PD7	['二酰甘油O-酰基转移酶2', '甘油二酯酰基转移酶2', '2.3.1.20', '视黄醇O-脂肪酰基转移酶', '酰基辅酶A视黄醇O-脂肪酰基转移酶', '海协']
Q9GZR5	['2.3.1.199', '超长链脂肪酸蛋白质4的伸长', 'ELOVL-FA-elongase 4', '超长链3-氧酰基-CoA合酶4', '3-酮酰基辅酶A合酶ELOVL4', 'ELOVL脂肪酸延长酶4', '超长链3-酮酰-CoA合酶4']
P37173	['第二梯队', 'TGFR-2', '转化生长因子β受体II型', 'TGF-βII型受体', 'TGF-β受体2型', '2.7.11.30', 'TGF-β受体II型']
Q9BUP3	['1.1.1.-', 'CC3', '提示30', '氧化还原酶HTATIP2', 'HIV-1-TAT相互作用蛋白2', '30kDa HIV-1Tat相互作用蛋白']
Q99828	['激酶相互作用蛋白', '钙和整合素结合蛋白', 'CIB', 'PRKDCIP', 'SIP2-28', '卡米林', '钙和整合素结合蛋白1', 'SNK相互作用蛋白2-28', 'DNA-PKcs相互作用蛋白', 'CIBP', '基普']
P30626	['22kDa蛋白', 'V19', 'CP22', '索钦', 'CP-22']
Q99653	['钙结合蛋白p22', '钙调神经磷酸酶B样蛋白', '钙调神经磷酸酶B同源蛋白1', 'CHP', 'EF-含钙结合域蛋白p22', '钙结合蛋白']
P09486	['在…上', '斯巴克', '分泌酸性蛋白质，富含半胱氨酸', '基底膜蛋白40', 'BM-40', '骨结合蛋白']
P35556	['原纤维蛋白-2']
O14958	['钙螯合素，心肌亚型', '钙螯合素-2']
Q15493	['钙调素', 'SMP-30', '葡萄糖酸内酯酶', '衰老标志蛋白30', '钢筋混凝土', 'SMP30', 'GNL']
Q9UBV8	['佩夫林', '具有长N端疏水结构域的PEF蛋白', 'ABP32', '含Penta-EF-hand结构域的蛋白质1']
P06703	['钙周期素', 'S100钙结合蛋白A6', 'MLN 4', '催乳素受体相关蛋白', '生长因子诱导蛋白2A9', '蛋白S100-A6', '普拉', '仙人掌']
P13693	['组胺释放因子', 'p23', '翻译控制肿瘤蛋白', '福特林', 'TCTP', 'HRF']
O75838	['钙和整合素结合家族成员2', '激酶相互作用蛋白2', 'KIP2', '基普2']
P31415	['卡米汀', '钙螯合素-1', '卡斯克', '钙螯合素，骨骼肌亚型']
Q02818	['核结合蛋白-1', '卡尔努克', 'NUC']
P80303	['胃癌抗原Zg4', '前抑制素', 'DNA结合蛋白NEFA', '内法', '核结合蛋白-2']
Q75N90	['KIAA1776', '原纤维蛋白-3']
P28676	['GCL', '葛兰素']
Q9ULU8	['帽子', '钙依赖性分泌激活蛋白1', '钙依赖性分泌激活剂1', 'CAPS-1', 'CAPS1', '起亚1121']
P0DP24	['钙调蛋白-2', '坎姆', 'CAM2']
P0DP25	['冷静', '钙调蛋白-3', '中工国际', '卡米尔', 'CAM3']
Q96FQ6	['S100F', 'S100钙结合蛋白A16', '衰老相关基因13蛋白', '蛋白S100-A16', '蛋白S100-F']
P22676	['铬', '出租车29', '29 kDa calbindin', '钙视网膜蛋白']
Q13938	['钙磷', '钙磷素']
Q86UW7	['钙依赖性分泌激活剂2', '钙依赖性分泌激活蛋白2', 'CAPS-2', 'KIAA1591', 'CAPS2']
Q96L12	['CRT2', '钙网蛋白-3', '钙网蛋白-2', '卡尔斯佩林']
Q9ULB1	['KIAA0578', '神经丝素-1-α', '神经丝蛋白-1', '神经丝蛋白I-α']
P62166	['类频率蛋白', '神经元钙传感器1', 'NCS-1', '类频蛋白', '一败涂地', '频率', '频率同系物']
P02774	['维生素D结合蛋白巨噬细胞激活因子', 'DBP maf', 'Gc-MAF', 'DBP', 'GcMAF', '维生素D结合蛋白', '组特定成分', '蛋白', 'Gc', 'Gc蛋白衍生巨噬细胞激活因子']
P70174	['组胺H1受体', 'H1R', 'BPH']
P12851	['木糖异构酶', '5.3.1.5', '席']
Q96RI0	['蛋白酶激活受体4', '帕尔4', '标准杆4杆', '凝血酶受体样3', '凝血因子II受体样3']
P02679	['纤维蛋白原γ链前体', '纤维蛋白原γ链']
Q25634	['谷氨酸门控氯通道']
Q8SPQ9	['环氧合酶2', '前列腺素内过氧化物合酶2', 'COX-2', '前列腺素G\\/H合酶-2']
Q9NZQ7	['PD-L1', 'PDCD1LG1', '程序性细胞死亡1配体1', 'B7同系物1', 'PDCD1L1', 'B7H1', 'B7-H1', 'PDL1']
P08667	['糖蛋白']
P20333	['TNFBR', 'TNFR2', '肿瘤坏死因子受体II型', '肿瘤坏死因子受体2', 'p75', 'TNF-RII', '肿瘤坏死因子受体超家族成员1B', 'TNF-R2', 'p80 TNF-α受体', 'TNFR-II']
O75964	['线粒体ATP合酶亚单位g', 'ATP酶亚单位g']
P48047	['阿宝', '寡霉素敏感性相关蛋白', '线粒体ATP合酶O亚单位', 'OSCP']
P21291	['富含半胱氨酸和甘氨酸的蛋白质1', '富含半胱氨酸蛋白1', 'CRP1', 'CYRP', 'CSRP', 'HEL-141', 'CRP', '附睾腔蛋白141']
Q16555	['ULIP2', '二氢嘧啶酶相关蛋白2', 'DRP-2', 'N2A3', '塌陷反应介体蛋白2', 'ULIP-2', 'Unc-33样磷蛋白2', 'CRMP-2', 'CRMP2']
P21333	['非肌丝蛋白', 'FLN', '肌动蛋白结合蛋白280', 'FLN-A', '菲拉明-A', 'α-菲拉明', '内皮肌动蛋白结合蛋白', 'ABP-280', '菲拉明-1', 'FLN1']
Q9C0B1	['α-酮戊二酸依赖性双加氧酶FTO', 'KIAA1752', '1.14.11.-', '脂肪量与肥胖相关蛋白']
Q14103	['富金元素RNA结合蛋白1', 'hnRNP D0', 'AUF1', '异质核核糖核蛋白D0', 'HNRPD']
P61978	['HNRPK', 'hnRNP K', '转化上调核蛋白', '噔', '异质核核糖核蛋白K']
Q5SSJ5	['异染色质蛋白1结合蛋白3', '蛋白HP1-BP74']
P46940	['Ras GTPase激活样蛋白IQGAP1', '起亚051', 'p195']
P55786	['3.4.11.14', '胞浆丙氨酰氨基肽酶', 'PSA', 'AAP-S', '嘌呤霉素敏感氨基肽酶']
P27635	['60S核糖体蛋白L10', '肿瘤抑制因子QM', '层粘连蛋白受体同系物', '蛋白质QM', 'QM', '大核糖体亚单位蛋白uL16', 'DXS648E']
P50914	['CAG-ISL 7', '60S核糖体蛋白L14', '大核糖体亚单位蛋白eL14']
Q07020	['大核糖体亚单位蛋白eL18', '60S核糖体蛋白L18']
P42766	['60S核糖体蛋白L35', '大核糖体亚单位蛋白uL29']
P36578	['RPL1', '大核糖体亚单位蛋白uL4', '60S核糖体蛋白L4', '60S核糖体蛋白L1']
P62277	['小核糖体亚单位蛋白uS15', '40S核糖体蛋白S13']
P08708	['小核糖体亚单位蛋白eS17', '40S核糖体蛋白S17', 'RPS17L']
P62269	['小核糖体亚单位蛋白uS13', '40S核糖体蛋白S18', 'D6S218E', 'Ke3', 'Ke-3']
P39019	['40S核糖体蛋白S19', '小核糖体亚单位蛋白eS19']
P62857	['40S核糖体蛋白S28', '小核糖体亚单位蛋白eS28']
P46782	['小核糖体亚单位蛋白uS7', '40S核糖体蛋白S5']
P62753	['小核糖体亚单位蛋白eS6', '磷蛋白NP33', '40S核糖体蛋白S6']
P62241	['小核糖体亚单位蛋白eS8', '40S核糖体蛋白S8']
P46781	['40S核糖体蛋白S9', '小核糖体亚单位蛋白uS4']
Q15637	['锌指蛋白162', '剪接因子1', 'mBBP', 'BBP', '哺乳动物分支点结合蛋白', 'ZNF162', 'ZFM1', '转录因子ZFM1', 'MEN1位点的锌指基因']
P62316	['snRNP核心蛋白D2', 'SNRPD1', '小核核糖核蛋白Sm D2', 'Sm-D2']
P37108	['18kDa Alu-RNA结合蛋白', '信号识别颗粒14 kDa蛋白', 'SRP14']
Q08170	['前mRNA剪接因子SRP75', 'SFRS4', '富含丝氨酸\\/精氨酸的剪接因子4', 'SRP75', '剪接因子，富含精氨酸\\/丝氨酸4', 'SRP001LB']
Q01995	['22kDa肌动蛋白结合蛋白', '特朗斯格林', '蛋白质WS3-10', 'WS3-10', '平滑肌蛋白22α', 'SM22阿尔法', 'SM22']
P37802	['Transgelin-2', 'SM22α同源物', 'KIAA0120', '附睾组织蛋白Li 7e']
P09493	['α原肌球蛋白', '原肌球蛋白α-1链', 'C15orf13', 'TMSA', '原肌球蛋白-1']
P08670	['波形蛋白']
Q15942	['Zyxin-2', 'Zyxin']
