P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P49721	['Proteasome component C7-I', 'Multicatalytic endopeptidase complex subunit C7-I', 'Proteasome subunit beta type-2', 'Macropain subunit C7-I', '3.4.25.1']
P49720	['Proteasome chain 13', 'Proteasome subunit beta type-3', 'Proteasome component C10-II', 'Proteasome theta chain', '3.4.25.1']
P28070	['Macropain beta chain', 'PROS26', 'HsBPROS26', 'Proteasome chain 3', 'Proteasome subunit beta type-4', '26 kDa prosomal protein', 'PROS-26', 'Multicatalytic endopeptidase complex beta chain', 'Proteasome beta chain', 'HsN3', '3.4.25.1']
P28072	['LMPY', 'Multicatalytic endopeptidase complex delta chain', 'Macropain delta chain', 'Proteasome delta chain', 'Y', 'Proteasome subunit Y', 'Proteasome subunit beta type-6', '3.4.25.1']
Q99436	['Multicatalytic endopeptidase complex chain Z', 'Z', 'Proteasome subunit Z', 'Macropain chain Z', 'Proteasome subunit beta type-7', '3.4.25.1']
Q8DP79	['3.5.1.88', 'PDF', 'Peptide deformylase', 'Polypeptide deformylase']
Q53901	['ActII protein', 'SubName: ActII protein']
P9WNW7	['Iron-dependent extradiol dioxygenase', '1.13.11.25', 'bphC']
Q6PYX1	['Hepatitis B virus receptor binding protein']
Q5LI27	['Putative ornithine carbamoyltransferase']
P01615	['Ig kappa chain V-II region MIL', 'Ig kappa chain V-II region GM607', 'Ig kappa chain V-II region TEW', 'Ig kappa chain V-II region FR', 'Immunoglobulin kappa variable 2D-28']
P55196	['AF6', 'Protein AF-6', 'ALL1-fused gene from chromosome 6 protein', 'Afadin']
Q02054	['ACP', 'Actinorhodin polyketide synthase acyl carrier protein', 'actI ORF3']
Q9NWZ3	['Renal carcinoma antigen NY-REN-64', '2.7.11.1', 'Interleukin-1 receptor-associated kinase 4', 'IRAK-4']
P15636	['Protease I', 'Protease 1', 'Lysyl endopeptidase', 'API', '3.4.21.50']
A0A6L8PBX8	['Enoyl-[acyl-carrier-protein] reductase [NADH]', '1.3.1.9']
Q6GI75	['ENR', '1.3.1.39', 'Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI', 'NADPH-dependent enoyl-ACP reductase']
Q15119	['2.7.11.2', 'PDHK2', 'PDH kinase 2', '[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial', 'Pyruvate dehydrogenase kinase isoform 2', 'PDKII']
Q9UKY3	['PCE-3', 'Inactive carboxylesterase 1 pseudogene 1', 'CES4', 'Putative inactive carboxylesterase 4', 'Placental carboxylesterase 3']
Q939D2	['Peroxidase/catalase', 'Catalase-peroxidase', 'CP', '1.11.1.21']
P27958	['Genome polyprotein', '3.4.22.-', 'p23']
P29894	['Methylamine dehydrogenase heavy chain', '1.4.9.1', 'Methylamine dehydrogenase (amicyanin)', 'MADH']
P22619	['Methylamine dehydrogenase light chain', '1.4.9.1', 'Methylamine dehydrogenase (amicyanin)', 'MADH']
P29899	['Cytochrome c-L', 'Cytochrome c552', 'Cytochrome c551I']
Q8VUS8	['1.4.99.-', 'Quinohemoprotein amine dehydrogenase subunit gamma', 'QH-AmDH', 'Quinohemoprotein amine dehydrogenase 9 kDa subunit', 'Quinohemoprotein amine dehydrogenase catalytic subunit']
Q8VUT0	['Quinohemoprotein amine dehydrogenase 60 kDa subunit']
Q8VUS7	['Quinohemoprotein amine dehydrogenase 40 kDa subunit']
P0A9J8	['P-protein', '5.4.99.5', 'CM']
P9WIB9	['5.4.99.5', 'Secreted chorismate mutase', '*MtCM']
P84887	['Aralkylamine dehydrogenase light chain', 'Aromatic amine dehydrogenase', 'AADH', '1.4.9.2']
P84888	['1.4.9.2', 'AADH', 'Aralkylamine dehydrogenase heavy chain', 'Aromatic amine dehydrogenase']
P04390	['3.1.21.4', 'Type II restriction enzyme EcoRV', 'R.EcoRV', 'Endonuclease EcoRV', 'Type-2 restriction enzyme EcoRV']
Q92793	['2.3.1.48', 'CREB-binding protein', 'CBP']
Q9FBC5	['Trans-2-enoyl-ACP reductase II', 'Putative enoyl-(Acyl-carrier-protein) reductase II']
Q3JP94	['Glutaryl-CoA dehydrogenase']
Q9NPJ3	['THEM2', 'Acyl-coenzyme A thioesterase 13', '3.1.2.-', 'Acyl-CoA thioesterase 13', 'Thioesterase superfamily member 2']
P0AEG4	['dsf', 'ppfA', 'Thiol:disulfide interchange protein DsbA']
P0A6M2	['roxB', 'Disulfide oxidoreductase', 'ycgA', 'Disulfide bond formation protein B']
Q72LA5	['NrfC protein']
Q72LA4	['Thiosulfate reductase']
Q72LA6	['Hypothetical membrane spanning protein']
Q9ZLT0	['glr', 'Glutamate racemase', '5.1.1.3']
P26661	['Genome polyprotein', '3.4.22.-', 'p23']
P80192	['PRKE1', 'MLK1', '2.7.11.25', 'Mixed lineage kinase 1', 'Mitogen-activated protein kinase kinase kinase 9']
Q7SIA5	['Carboxylesterase']
O92972	['Genome polyprotein', '3.4.22.-', 'p23']
A7J8L3	['PP1a', 'Polyprotein orf1a', 'Orf1a polyprotein']
Q672W7	['3.5.1.88', 'PDF', 'Peptide deformylase', 'Polypeptide deformylase']
Q9HBL8	['HSCARG', 'NmrA-like family domain-containing protein 1']
P16218	['Cellulase H', '3.2.1.4', 'EgH', 'Endo-1,4-beta-glucanase H', 'Endoglucanase H']
P01100	['G0S7', 'Proto-oncogene c-Fos', 'Cellular oncogene fos', 'G0/G1 switch regulatory protein 7']
O75330	['Hyaluronan mediated motility receptor', 'RHAMM', 'Intracellular hyaluronic acid-binding protein', 'IHABP', 'Receptor for hyaluronan-mediated motility']
P13611	['CSPG2', 'Glial hyaluronate-binding protein', 'Large fibroblast proteoglycan', 'GHAP', 'PG-M', 'Chondroitin sulfate proteoglycan core protein 2', 'Versican core protein', 'Chondroitin sulfate proteoglycan 2']
Q07021	['Complement component 1 Q subcomponent-binding protein, mitochondrial', 'ASF/SF2-associated protein p32', 'gC1q-R protein', 'HABP1', 'Hyaluronan-binding protein 1', 'C1qBP', 'Glycoprotein gC1qBP', 'Mitochondrial matrix protein p32', 'p33', 'SF2P32', 'GC1QBP']
P10915	['Proteoglycan link protein', 'CRTL1', 'Cartilage-linking protein 1', 'Hyaluronan and proteoglycan link protein 1', 'Cartilage-link protein']
Q96S86	['Hyaluronan and proteoglycan link protein 3', 'EXLD1']
Q14520	['Factor seven-activating protease', 'HGFAL', '3.4.21.-', 'Plasma hyaluronan-binding protein', 'Hyaluronan-binding protein 2', 'PHBP', 'Hepatocyte growth factor activator-like protein', 'FSAP', 'Factor VII-activating protease']
Q6UX15	['Layilin']
Q8WWQ8	['Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2', 'FEEL-2', 'FAS1 EGF-like and X-link domain-containing adhesion molecule 2', 'FEX2', 'Hyaluronan receptor for endocytosis', 'FEEL2', 'FELL', 'HARE', 'Stabilin-2']
Q9BZV3	['IPM200', 'Spacrcan', 'IPM 200', 'Sialoprotein associated with cones and rods proteoglycan', 'Interphotoreceptor matrix proteoglycan of 200 kDa', 'Interphotoreceptor matrix proteoglycan 2']
Q5JVS0	['Intracellular hyaluronan-binding protein 4', 'Ki-1/57 intracellular antigen', 'IHABP-4']
Q9Y5Y7	['CRSBP1', 'Lymphatic vessel endothelial hyaluronic acid receptor 1', 'Hyaluronic acid receptor', 'Extracellular link domain-containing protein 1', 'XLKD1', 'LYVE-1', 'CRSBP-1', 'Cell surface retention sequence-binding protein 1', 'HAR']
Q08460	['Calcium-activated potassium channel subunit alpha-1', 'K(VCA)alpha', 'KCa1.1', 'Slowpoke homolog', 'BKCA alpha', 'Kcnma', 'mSlo1', 'Slo homolog', 'mSlo', 'Slo-alpha', 'Maxi K channel', 'BK channel', 'Calcium-activated potassium channel, subfamily M subunit alpha-1', 'Slo1', 'MaxiK']
Q9UHC3	['Acid-sensing ion channel 3', 'ACCN3', 'hTNaC1', 'Testis sodium channel 1', 'TNAC1', 'Neuronal amiloride-sensitive cation channel 3', 'SLNAC1', 'Amiloride-sensitive cation channel 3', 'ASIC3']
Q9NSD5	['GAT-2', 'Solute carrier family 6 member 13', 'GAT2', 'Sodium- and chloride-dependent GABA transporter 2']
P48066	['GABT3', 'GAT3', 'Sodium- and chloride-dependent GABA transporter 3', 'Solute carrier family 6 member 11', 'GAT-3']
P48065	['Sodium- and chloride-dependent betaine transporter', 'Solute carrier family 6 member 12', 'Na(+)/Cl(-) betaine/GABA transporter', 'BGT-1']
Q9H228	['EDG8', 'Endothelial differentiation G-protein-coupled receptor 8', 'S1P receptor 5', 'S1P receptor Edg-8', 'Sphingosine 1-phosphate receptor 5', 'Sphingosine 1-phosphate receptor Edg-8']
P21453	['S1P receptor 1', 'Sphingosine 1-phosphate receptor Edg-1', 'Sphingosine 1-phosphate receptor 1', 'Endothelial differentiation G-protein coupled receptor 1', 'EDG1', 'S1P receptor Edg-1', 'CHEDG1']
O95977	['Sphingosine 1-phosphate receptor Edg-6', 'S1P receptor Edg-6', 'S1P receptor 4', 'Sphingosine 1-phosphate receptor 4', 'EDG6', 'Endothelial differentiation G-protein coupled receptor 6']
Q99500	['Endothelial differentiation G-protein coupled receptor 3', 'Sphingosine 1-phosphate receptor 3', 'S1P receptor Edg-3', 'Sphingosine 1-phosphate receptor Edg-3', 'S1P receptor 3', 'EDG3']
Q18BX5	['RNA polymerase sigma factor SigA', 'sigA']
P49763	['Placenta growth factor', 'PLGF', 'PGFL']
P49765	['VRF', 'VEGF-related factor', 'Vascular endothelial growth factor B', 'VEGF-B']
P08697	['AAP', 'Serpin F2', 'Alpha-2-antiplasmin', 'Alpha-2-PI', 'Alpha-2-AP', 'Alpha-2-plasmin inhibitor', 'PLI']
P28062	['Multicatalytic endopeptidase complex subunit C13', 'Really interesting new gene 10 protein', 'Macropain subunit C13', 'Y2', 'Proteasome subunit beta type-8', 'RING10', 'LMP7', 'Proteasome subunit beta-5i', 'Proteasome component C13', 'PSMB5i', 'Low molecular mass protein 7', '3.4.25.1']
P28065	['Proteasome subunit beta type-9', 'LMP2', 'Really interesting new gene 12 protein', 'RING12', 'Macropain chain 7', 'PSMB6i', 'Low molecular mass protein 2', 'Multicatalytic endopeptidase complex chain 7', 'Proteasome chain 7', 'Proteasome subunit beta-1i', '3.4.25.1']
P40306	['LMP10', 'Proteasome MECl-1', 'Proteasome subunit beta-2i', 'Macropain subunit MECl-1', 'Proteasome subunit beta type-10', 'Low molecular mass protein 10', 'Multicatalytic endopeptidase complex subunit MECl-1', 'MECL1', '3.4.25.1']
P25092	['Intestinal guanylate cyclase', '4.6.1.2', 'STA receptor', 'GUC2C', 'Heat-stable enterotoxin receptor', 'GC-C', 'STAR', 'Guanylyl cyclase C']
Q16832	['Discoidin domain receptor 2', '2.7.10.1', 'NTRKR3', 'TYRO10', 'CD167 antigen-like family member B', 'Discoidin domain-containing receptor tyrosine kinase 2', 'Receptor protein-tyrosine kinase TKT', 'TKT', 'Tyrosine-protein kinase TYRO10', 'Neurotrophic tyrosine kinase, receptor-related 3', 'Discoidin domain-containing receptor 2']
P13423	['PA-83', 'Protective antigen', 'Anthrax toxins translocating protein', 'PA83', 'pag', 'PA']
P9WPS1	['F-ATPase subunit c', 'F-type ATPase subunit c', 'ATP synthase F(0) sector subunit c', 'Lipid-binding protein', 'ATP synthase subunit c']
Q14145	['KIAA0132', 'KLHL19', 'INRF2', 'Kelch-like protein 19', 'Cytosolic inhibitor of Nrf2', 'Kelch-like ECH-associated protein 1']
P57059	['Serine/threonine-protein kinase SNF1-like kinase 1', 'Salt-inducible kinase 1', '2.7.11.1', 'Serine/threonine-protein kinase SIK1', 'SIK', 'SNF1LK', 'SIK-1', 'Serine/threonine-protein kinase SNF1LK']
Q8NG66	['NimA-related protein kinase 11', 'Never in mitosis A-related kinase 11', '2.7.11.1', 'Serine/threonine-protein kinase Nek11']
P53667	['2.7.11.1', 'LIMK', 'LIM domain kinase 1', 'LIMK-1']
Q15303	['2.7.10.1', 'p180erbB4', 'Tyrosine kinase-type cell surface receptor HER4', 'Receptor tyrosine-protein kinase erbB-4', 'Proto-oncogene-like protein c-ErbB-4', 'HER4']
O15393	['3.4.21.-', 'Serine protease 10', 'Transmembrane protease serine 2', 'PRSS10']
Q92482	['AQP-3', 'Aquaporin-3', 'Aquaglyceroporin-3']
Q5L478	['Nonstructural protein 5A']
Q16552	['IL-17', 'CTLA-8', 'Cytotoxic T-lymphocyte-associated antigen 8', 'CTLA8', 'Interleukin-17A', 'IL17']
O43613	['Ox-1-R', 'Orexin receptor type 1', 'Hypocretin receptor type 1']
O43614	['Hypocretin receptor type 2', 'Orexin receptor type 2', 'Ox-2-R']
Q9HGT2	['Cytosolic leucyl-tRNA synthetase']
A0A023W3H0	['Class D OXA-48 carbapenemase', 'OXA-48 carbapenemase']
Q9F663	['Carbapenem-hydrolyzing beta-lactamase KPC', 'kpc', '3.5.2.6', 'kpc1', 'Carbapenem-hydrolyzing beta-lactamase KPC-1']
Q9EXV5	['Beta-lactamase UOE-1']
P37321	['3.5.2.6', 'Extended-spectrum beta-lactamase PER-1']
P47775	['G-protein coupled receptor 12']
Q9Y5S1	['Vanilloid receptor-like protein 1', 'Osm-9-like TRP channel 2', 'OTRPC2', 'VRL-1', 'TrpV2', 'VRL', 'Transient receptor potential cation channel subfamily V member 2']
Q9HBA0	['VRL2', 'Osm-9-like TRP channel 4', 'Vanilloid receptor-like channel 2', 'OTRPC4', 'Transient receptor potential protein 12', 'Vanilloid receptor-related osmotically-activated channel', 'VR-OAC', 'Vanilloid receptor-like protein 2', 'Transient receptor potential cation channel subfamily V member 4', 'TrpV4', 'VROAC', 'VRL-2', 'TRP12']
P20815	['Cytochrome P450 3A5', 'CYPIIIA5', 'Cytochrome P450 HLp2', '1.14.14.1', 'Cytochrome P450-PCN3']
P10635	['Cytochrome P450 2D6', 'Cytochrome P450-DB1', 'CYP2DL1', 'Cholesterol 25-hydroxylase', 'CYPIID6', 'Debrisoquine 4-hydroxylase', '1.14.14.1']
P24462	['Cytochrome P450-HFLA', '1.14.14.1', 'Cytochrome P450 3A7', 'CYPIIIA7']
F1T0I5	['Arylalkylamine N-acetyltransferase', 'Serotonin N-acetyltransferase']
Q02083	['N-acylsphingosine amidohydrolase-like', 'Acid ceramidase-like protein', 'ASAH-like protein', 'PLT', '3.5.1.-', 'ASAHL', 'N-acylethanolamine-hydrolyzing acid amidase']
P34998	['CRH-R1', 'CRFR', 'Corticotropin-releasing hormone receptor 1', 'CRH-R-1', 'CRF-R-1', 'Corticotropin-releasing factor receptor 1', 'CRHR', 'CRFR1']
P42765	['Beta-ketothiolase', 'T1', 'Mitochondrial 3-oxoacyl-CoA thiolase', 'Acyl-CoA hydrolase, mitochondrial', 'Acetyl-CoA acetyltransferase', '3-ketoacyl-CoA thiolase, mitochondrial', '2.3.1.16', 'Acetyl-CoA acyltransferase']
P08294	['EC-SOD', 'Extracellular superoxide dismutase [Cu-Zn]', '1.15.1.1']
P31391	['SS-4-R', 'Somatostatin receptor type 4']
Q99571	['P2X purinoceptor 4', 'P2X4', 'ATP receptor', 'Purinergic receptor']
P62807	['Histone H2B type 1-C/E/F/G/I', 'Histone H2B.h', 'Histone H2B.k', 'Histone H2B.a', 'H2BFA', 'H2B/a', 'H2BFG', 'H2BFH', 'Histone H2B.1 A', 'Histone H2B.l', 'H2B/g', 'Histone H2B.g', 'H2B/k', 'H2B/h', 'H2B/l', 'H2BFL', 'H2BFK']
P10412	['Histone H1.4', 'H1F4', 'Histone H1s-4', 'Histone H1b']
P63261	['Gamma-actin', 'ACTG', 'Actin, cytoplasmic 2']
P10809	['CPN60', 'Heat shock protein 60', 'P60 lymphocyte protein', 'Mitochondrial matrix protein P1', '60 kDa chaperonin', 'HSP-60', 'Chaperonin 60', '3.6.4.9', 'HSP60', '60 kDa heat shock protein, mitochondrial', 'HuCHA60']
P48723	['Microsomal stress-70 protein ATPase core', 'Stress-70 protein chaperone microsome-associated 60 kDa protein', 'Heat shock 70 kDa protein 13', 'STCH']
Q08288	['Cell growth-regulating nucleolar protein', 'Protein expressed in male leptotene and zygotene spermatocytes 264', 'MLZ-264']
P15880	['40S ribosomal protein S2', 'Small ribosomal subunit protein uS5', 'Protein LLRep3', 'RPS4', '40S ribosomal protein S4']
Q07955	['pre-mRNA-splicing factor SF2, P33 subunit', 'SFRS1', 'ASF', 'Serine/arginine-rich splicing factor 1', 'Splicing factor, arginine/serine-rich 1', 'SF2', 'SF2P33', 'ASF-1', 'Alternative-splicing factor 1']
P22626	['Heterogeneous nuclear ribonucleoproteins A2/B1', 'hnRNP A2/B1', 'HNRPA2B1']
P31943	['Heterogeneous nuclear ribonucleoprotein H', 'hnRNP H', 'HNRPH', 'HNRPH1']
P31942	['Heterogeneous nuclear ribonucleoprotein H3', 'Heterogeneous nuclear ribonucleoprotein 2H9', 'HNRPH3', 'hnRNP H3', 'hnRNP 2H9']
P61987	['2.1.1.195', 'Cobalt-precorrin-6A synthase', 'Cobalt-precorrin-5B C(1)-methyltransferase']
P14866	['Heterogeneous nuclear ribonucleoprotein L', 'HNRPL', 'hnRNP L']
P23246	['100 kDa DNA-pairing protein', 'Splicing factor, proline- and glutamine-rich', 'hPOMp100', 'Polypyrimidine tract-binding protein-associated-splicing factor', 'DNA-binding p52/p100 complex, 100 kDa subunit', 'PTB-associated-splicing factor', 'PSF']
Q15428	['SF3a66', 'Splicing factor 3A subunit 2', 'SAP 62', 'SAP62', 'Spliceosome-associated protein 62']
P63244	['GNB2L1', 'Guanine nucleotide-binding protein subunit beta-2-like 1', 'Small ribosomal subunit protein RACK1', 'Guanine nucleotide-binding protein subunit beta-like protein 12.3', 'Receptor of activated protein C kinase 1', 'Cell proliferation-inducing gene 21 protein', 'HLC-7', 'Human lung cancer oncogene 7 protein', 'Receptor for activated C kinase']
P29401	['2.2.1.1', 'Transketolase', 'TK']
P31948	['Renal carcinoma antigen NY-REN-11', 'Transformation-sensitive protein IEF SSP 3521', 'Hsc70/Hsp90-organizing protein', 'Stress-induced-phosphoprotein 1', 'Hop', 'STI1']
Q96RE1	['Translation elongation factor 1 alpha 1-like 14']
P56537	['Eukaryotic translation initiation factor 6', 'p27(BBP)', 'EIF3A', 'eIF-6', 'ITGB4BP', 'B4 integrin interactor', 'CAB', 'B(2)GCN homolog']
P60842	['DDX2A', 'ATP-dependent RNA helicase eIF4A-1', 'Eukaryotic initiation factor 4A-I', 'EIF4A', 'eIF-4A-I', '3.6.4.13']
P31946	['Protein kinase C inhibitor protein 1', 'KCIP-1', '14-3-3 protein beta/alpha', 'Protein 1054']
P51858	['High mobility group protein 1-like 2', 'HDGF', 'HMG1L2', 'Hepatoma-derived growth factor', 'HMG-1L2']
O00299	['Chloride intracellular channel protein 1', 'hRNCC', 'Chloride channel ABP', 'Nuclear chloride ion channel 27', 'NCC27', 'G6', 'Regulatory nuclear chloride ion channel protein']
Q06323	['IFI5111', '11S regulator complex subunit alpha', 'REG-alpha', 'Interferon gamma up-regulated I-5111 protein', 'IGUP I-5111', 'Activator of multicatalytic protease subunit 1', 'Proteasome activator 28 subunit alpha', 'PA28alpha', 'PA28a', 'Proteasome activator complex subunit 1']
P30086	['Phosphatidylethanolamine-binding protein 1', 'HCNPpp', 'RKIP', 'PBP', 'Prostatic-binding protein', 'PEBP', 'Raf kinase inhibitor protein', 'PEBP-1', 'Neuropolypeptide h3']
P18669	['5.4.2.11', 'PGAM-B', 'Phosphoglycerate mutase 1', 'Phosphoglycerate mutase isozyme B', 'BPG-dependent PGAM 1', 'PGAMA']
P43487	['Ran-specific GTPase-activating protein', 'Ran-binding protein 1', 'RanBP1']
O75880	['Protein SCO1 homolog, mitochondrial', 'SCOD1']
F7VJQ1	['PRP', 'ALTPRP', 'PRIP', 'Alternative prion protein']
P42858	['Huntington disease protein', 'Huntingtin', 'HD', 'IT15', 'HD protein']
Q6MZM0	['Hephaestin-like protein 1', '1.-.-.-']
Q99497	['Oncogene DJ1', '3.1.2.-', 'DJ-1', 'Parkinson disease protein 7', 'Protein deglycase DJ-1']
P10997	['Insulinoma amyloid peptide', 'Diabetes-associated peptide', 'Amylin', 'DAP', 'Islet amyloid polypeptide']
Q9UHF0	['ZNEUROK1', 'NKNB', 'Tachykinin-3']
P43652	['ALB2', 'Afamin', 'Alpha-albumin', 'Alpha-Alb', 'ALBA']
P02655	['APC2', 'Apolipoprotein C2', 'Apo-CII', 'Apolipoprotein C-II']
P02656	['Apolipoprotein C3', 'Apo-CIII', 'Apolipoprotein C-III']
P02748	['Complement component C9']
P45973	['HP1A', 'HP1 alpha', 'Chromobox protein homolog 5', 'Heterochromatin protein 1 homolog alpha', 'Antigen p25']
P01861	['Ig gamma-4 chain C region']
P15814	['Immunoglobulin-related protein 14.1', 'IGL1', 'CD179 antigen-like family member B', 'Immunoglobulin omega polypeptide', 'Ig lambda-5', 'Immunoglobulin lambda-like polypeptide 1']
P02750	['LRG', 'Leucine-rich alpha-2-glycoprotein']
P51884	['Lumican', 'SLRR2D', 'LDC', 'Keratan sulfate proteoglycan lumican', 'KSPG lumican']
P05543	['Serpin A7', 'Thyroxine-binding globulin', 'T4-binding globulin', 'TBG']
P36955	['EPC-1', 'Cell proliferation-inducing gene 35 protein', 'Pigment epithelium-derived factor', 'Serpin F1', 'PEDF']
P04080	['CPI-B', 'Cystatin-B', 'STFB', 'Stefin-B', 'Liver thiol proteinase inhibitor', 'CST6']
Q9Y5S8	['NADH/NADPH mitogenic oxidase subunit P65-MOX', 'MOX1', 'NOH-1', 'Mitogenic oxidase 1', 'NOX-1', 'NADPH oxidase 1', 'MOX-1', 'NOH1', '1.-.-.-']
P87764	['Nonstructural protein 5b']
P22897	['CLEC13D', 'CLEC13DL', 'MRC1L1', 'C-type lectin domain family 13 member D-like', 'MMR', 'C-type lectin domain family 13 member D', 'hMR', 'Macrophage mannose receptor 1-like protein 1', 'Human mannose receptor', 'Macrophage mannose receptor 1']
P04926	['Malaria protein EXP-1', 'Exported antigen AG 5.1']
O25926	['ATP-dependent Clp protease ATP-binding subunit ClpX']
Q3MS49	['Reverse transcriptase']
I6TLU5	['DNA polymerase', '2.7.7.7']
P39905	['ATF', 'Glial cell line-derived neurotrophic factor', 'Astrocyte-derived trophic factor', 'hGDNF']
Q8NBP7	['PC9', 'NARC-1', '3.4.21.-', 'Subtilisin/kexin-like protease PC9', 'Neural apoptosis-regulated convertase 1', 'NARC1', 'Proprotein convertase subtilisin/kexin type 9', 'Proprotein convertase 9']
P28907	['ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1', 'cADPr hydrolase 1', 'Cyclic ADP-ribose hydrolase 1', 'T10', "2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase", "2'-phospho-cyclic-ADP-ribose transferase", 'ADPRC 1', '3.2.2.6', 'ADP-ribosyl cyclase 1', "2'-phospho-ADP-ribosyl cyclase"]
P55073	['ITDI3', 'TXDI3', 'DIOIII', '5DIII', 'Type 3 DI', 'Thyroxine 5-deiodinase', 'Type III iodothyronine deiodinase', '1.21.99.3']
P05186	['AP-TNAP', '3.1.3.1', 'Alkaline phosphatase liver/bone/kidney isozyme', 'Alkaline phosphatase, tissue-nonspecific isozyme']
P19971	['Platelet-derived endothelial cell growth factor', '2.4.2.4', 'Thymidine phosphorylase', 'Gliostatin', 'PD-ECGF', 'ECGF1', 'TdRPase', 'TP']
Q02108	['4.6.1.2', 'GCS-alpha-3', 'Guanylate cyclase soluble subunit alpha-3', 'Soluble guanylate cyclase large subunit', 'GUCSA3', 'Guanylate cyclase soluble subunit alpha-1', 'GUCY1A3', 'GCS-alpha-1', 'GUC1A3']
P34981	['TRH-R', 'Thyrotropin-releasing hormone receptor', 'Thyroliberin receptor']
P17050	['3.2.1.49', 'Alpha-galactosidase B', 'Alpha-N-acetylgalactosaminidase']
P69924	['1.17.4.1', 'ftsB', 'Protein R2', 'Ribonucleoside-diphosphate reductase 1 subunit beta', 'Ribonucleotide reductase 1', 'Protein B2']
Q8KT33	['Urease', '3.5.1.5']
P47872	['SCT-R', 'Secretin receptor']
Q9UEW3	['Scavenger receptor class A member 2', 'Macrophage receptor MARCO', 'SCARA2', 'Macrophage receptor with collagenous structure']
Q96PD7	['Diacylglycerol O-acyltransferase 2', 'Diglyceride acyltransferase 2', '2.3.1.20', 'Retinol O-fatty-acyltransferase', 'Acyl-CoA retinol O-fatty-acyltransferase', 'ARAT']
Q9GZR5	['2.3.1.199', 'Elongation of very long chain fatty acids protein 4', 'ELOVL FA elongase 4', 'Very long chain 3-oxoacyl-CoA synthase 4', '3-keto acyl-CoA synthase ELOVL4', 'ELOVL fatty acid elongase 4', 'Very long chain 3-ketoacyl-CoA synthase 4']
P37173	['TbetaR-II', 'TGFR-2', 'Transforming growth factor-beta receptor type II', 'TGF-beta type II receptor', 'TGF-beta receptor type-2', '2.7.11.30', 'TGF-beta receptor type II']
Q9BUP3	['1.1.1.-', 'CC3', 'TIP30', 'Oxidoreductase HTATIP2', 'HIV-1 TAT-interactive protein 2', '30 kDa HIV-1 TAT-interacting protein']
Q99828	['Kinase-interacting protein', 'Calcium- and integrin-binding protein', 'CIB', 'PRKDCIP', 'SIP2-28', 'Calmyrin', 'Calcium and integrin-binding protein 1', 'SNK-interacting protein 2-28', 'DNA-PKcs-interacting protein', 'CIBP', 'KIP']
P30626	['22 kDa protein', 'V19', 'CP22', 'Sorcin', 'CP-22']
Q99653	['Calcium-binding protein p22', 'Calcineurin B-like protein', 'Calcineurin B homologous protein 1', 'CHP', 'EF-hand calcium-binding domain-containing protein p22', 'Calcium-binding protein CHP']
P09486	['ON', 'SPARC', 'Secreted protein acidic and rich in cysteine', 'Basement-membrane protein 40', 'BM-40', 'Osteonectin']
P35556	['Fibrillin-2']
O14958	['Calsequestrin, cardiac muscle isoform', 'Calsequestrin-2']
Q15493	['Regucalcin', 'SMP-30', 'Gluconolactonase', 'Senescence marker protein 30', 'RC', 'SMP30', 'GNL']
Q9UBV8	['Peflin', 'PEF protein with a long N-terminal hydrophobic domain', 'ABP32', 'Penta-EF hand domain-containing protein 1']
P06703	['Calcyclin', 'S100 calcium-binding protein A6', 'MLN 4', 'Prolactin receptor-associated protein', 'Growth factor-inducible protein 2A9', 'Protein S100-A6', 'PRA', 'CACY']
P13693	['Histamine-releasing factor', 'p23', 'Translationally-controlled tumor protein', 'Fortilin', 'TCTP', 'HRF']
O75838	['Calcium and integrin-binding family member 2', 'Kinase-interacting protein 2', 'KIP2', 'KIP 2']
P31415	['Calmitine', 'Calsequestrin-1', 'CASQ', 'Calsequestrin, skeletal muscle isoform']
Q02818	['Nucleobindin-1', 'CALNUC', 'NUC']
P80303	['Gastric cancer antigen Zg4', 'Prepronesfatin', 'DNA-binding protein NEFA', 'NEFA', 'Nucleobindin-2']
Q75N90	['KIAA1776', 'Fibrillin-3']
P28676	['GCL', 'Grancalcin']
Q9ULU8	['CAPS', 'Calcium-dependent activator protein for secretion 1', 'Calcium-dependent secretion activator 1', 'CAPS-1', 'CAPS1', 'KIAA1121']
P0DP24	['Calmodulin-2', 'CAMB', 'CAM2']
P0DP25	['CALML2', 'Calmodulin-3', 'CAMC', 'CAMIII', 'CAM3']
Q96FQ6	['S100F', 'S100 calcium-binding protein A16', 'Aging-associated gene 13 protein', 'Protein S100-A16', 'Protein S100-F']
P22676	['CR', 'CAB29', '29 kDa calbindin', 'Calretinin']
Q13938	['Calcyphosine', 'Calcyphosin']
Q86UW7	['Calcium-dependent secretion activator 2', 'Calcium-dependent activator protein for secretion 2', 'CAPS-2', 'KIAA1591', 'CAPS2']
Q96L12	['CRT2', 'Calreticulin-3', 'Calreticulin-2', 'Calsperin']
Q9ULB1	['KIAA0578', 'Neurexin-1-alpha', 'Neurexin-1', 'Neurexin I-alpha']
